Pitcher,PitchType,FirstX,FirstY,SecondX,SecondY,FinalX,FinalY,isHit,isStrike
jacobdegrom,SL,595.0,427.0,613.3229360773986,501.8148483946013,613.3229360773986,501.8148483946013,false,True
jacobdegrom,FF,595.0,427.0,662.5365962060049,504.2397616235795,662.5365962060049,504.2397616235795,false,True
jacobdegrom,CH,595.0,427.0,625.2196166861224,548.0414855337168,625.2196166861224,548.0414855337168,false,True
jacobdegrom,FF,595.0,427.0,646.216911216984,495.55268944900075,646.216911216984,495.55268944900075,false,True
chrissale,CH,701.0,449.0,708.8283034659721,529.6537681113763,722.6164415999474,608.3470502339655,false,False
chrissale,FF,701.0,449.0,685.2175079412442,544.7145613502589,685.2175079412442,544.7145613502589,false,True
chrissale,FF,701.0,449.0,567.8253111501114,439.6857541313807,567.8253111501114,439.6857541313807,false,True
chrissale,FF,701.0,449.0,630.8455008502079,388.91345903047585,630.8455008502079,388.91345903047585,false,False
chrissale,FF,701.0,449.0,583.7978757038221,388.54406277862216,583.7978757038221,388.54406277862216,false,False
chrissale,FF,701.0,449.0,560.7665715521812,539.9084547278289,560.7665715521812,539.9084547278289,false,True
chrissale,SL,701.0,449.0,613.8653422130126,468.0280539564165,460.92560192890716,560.0152425595807,false,False
chrissale,CH,701.0,449.0,679.2510825324749,490.73093090272437,678.3245594655074,522.11605095226,false,True
jacobdegrom,CH,595.0,427.0,664.9364684290874,572.8959082646447,664.9364684290874,572.8959082646447,false,False
chrissale,FF,701.0,449.0,608.9425067039268,458.79188225485944,608.9425067039268,458.79188225485944,false,True
chrissale,FF,701.0,449.0,715.3941943410181,550.7219060755954,715.3941943410181,550.7219060755954,false,False
chrissale,FF,701.0,449.0,642.7608607372472,428.6101041407912,642.7608607372472,428.6101041407912,false,True
chrissale,CH,701.0,449.0,651.6005752491695,533.5976466298931,638.0849569629222,614.172581262129,false,False
chrissale,CH,701.0,449.0,700.6629754653362,480.7129787244306,710.5553774978194,536.0562619204112,false,False
chrissale,FF,701.0,449.0,684.4080267733625,534.8493358963939,684.4080267733625,534.8493358963939,false,True
chrissale,FF,701.0,449.0,717.4641760910115,471.45425737007736,717.4641760910115,471.45425737007736,false,False
chrissale,FF,701.0,449.0,579.5803497056827,386.201935283496,579.5803497056827,386.201935283496,false,False
chrissale,FF,701.0,449.0,565.0343044605266,399.23345274582005,565.0343044605266,399.23345274582005,false,True
jacobdegrom,FF,595.0,427.0,624.9606644980255,367.31045700599134,624.9606644980255,367.31045700599134,false,False
jacobdegrom,FF,595.0,427.0,693.4820312049385,502.0396232103888,693.4820312049385,502.0396232103888,false,True
jacobdegrom,FF,595.0,427.0,574.8541541862849,457.67408286296,574.8541541862849,457.67408286296,false,True
jacobdegrom,SL,595.0,427.0,619.7665444416195,523.0230259979928,636.0254110718479,559.8656950560933,false,True
jacobdegrom,FF,595.0,427.0,642.8599452528705,479.98612243709005,642.8599452528705,479.98612243709005,false,True
jacobdegrom,SL,595.0,427.0,654.9178746235344,508.45369472178055,677.9260110042408,542.4989633299309,false,True
jacobdegrom,SL,595.0,427.0,586.8223065703929,528.1616138775134,596.7556786328163,565.9909231439912,false,True
jacobdegrom,FF,595.0,427.0,594.6221874507518,474.6392924114387,594.6221874507518,474.6392924114387,false,True
jacobdegrom,CH,595.0,427.0,518.5246048035294,597.5191405179286,518.5246048035294,597.5191405179286,false,True
jacobdegrom,FF,595.0,427.0,516.9101046417176,488.3410926754412,516.9101046417176,488.3410926754412,false,True
jacobdegrom,FF,595.0,427.0,687.4266974056854,512.0115470943019,687.4266974056854,512.0115470943019,false,True
jacobdegrom,FF,595.0,427.0,572.6589094515209,388.5100529200176,572.6589094515209,388.5100529200176,false,False
jacobdegrom,CH,595.0,427.0,585.7779171111897,581.6158136386764,585.7779171111897,581.6158136386764,false,True
jacobdegrom,FF,595.0,427.0,602.4050855047877,391.10514200584765,602.4050855047877,391.10514200584765,false,False
jacobdegrom,FF,595.0,427.0,602.5045573777846,472.81625352061013,602.5045573777846,472.81625352061013,false,True
jacobdegrom,FF,595.0,427.0,625.9709312399578,403.88265712965045,625.9709312399578,403.88265712965045,false,True
jacobdegrom,FF,595.0,427.0,678.0242306374909,512.3880762896108,678.0242306374909,512.3880762896108,false,True
jacobdegrom,SL,595.0,427.0,574.243476485452,518.6309053980742,581.7616364648808,554.6302605174966,false,True
jacobdegrom,SL,595.0,427.0,645.6242044163416,520.7997672880642,645.6242044163416,520.7997672880642,false,True
jacobdegrom,FF,595.0,427.0,626.2414853666822,420.8697143852051,626.2414853666822,420.8697143852051,false,True
chrissale,SL,701.0,449.0,721.0309264097311,490.6699490804259,663.9998857492111,602.9206834350987,false,True
chrissale,FF,701.0,449.0,721.6613474358933,557.9565256124749,721.6613474358933,557.9565256124749,false,False
chrissale,FF,701.0,449.0,540.1928722357712,570.4248069473049,540.1928722357712,570.4248069473049,false,False
chrissale,FF,701.0,449.0,732.1624145819602,519.8665659593685,732.1624145819602,519.8665659593685,false,False
chrissale,FF,701.0,449.0,560.3973554263971,556.5281912458269,560.3973554263971,556.5281912458269,false,True
chrissale,FF,701.0,449.0,661.8819077079617,514.1497322985412,661.8819077079617,514.1497322985412,false,True
chrissale,FF,701.0,449.0,628.5381323392569,467.45032808248635,628.5381323392569,467.45032808248635,false,True
chrissale,FF,701.0,449.0,656.0843863183354,459.40915537420835,656.0843863183354,459.40915537420835,false,True
chrissale,FF,701.0,449.0,531.3296502662186,516.1604991044474,531.3296502662186,516.1604991044474,false,False
chrissale,FF,701.0,449.0,723.2474271545766,543.4041667530321,723.2474271545766,543.4041667530321,false,False
chrissale,SL,701.0,449.0,633.5730343152978,475.842698942422,541.5421089734012,541.3985698376825,false,False
chrissale,FF,701.0,449.0,732.3356923011501,506.6696752533753,732.3356923011501,506.6696752533753,false,False
chrissale,FF,701.0,449.0,553.0878320730434,522.7223987551972,553.0878320730434,522.7223987551972,false,False
chrissale,CH,701.0,449.0,679.9411357807323,510.24284084529364,679.9470006229935,579.6750314222609,false,False
chrissale,FF,701.0,449.0,591.8813567377044,392.4846176831904,591.8813567377044,392.4846176831904,false,False
chrissale,FF,701.0,449.0,692.6737807614617,429.9198905341804,692.6737807614617,429.9198905341804,false,True
chrissale,CH,701.0,449.0,689.2555060100167,537.9006843448947,693.7053231787567,620.5286288955452,false,False
Yamamoto,FF,588.0,423.0,630.9812306048718,457.0035382663646,630.9812306048718,457.0035382663646,false,True
Yamamoto,FF,588.0,423.0,702.691917308428,580.4251110082083,702.691917308428,580.4251110082083,false,False
Yamamoto,FC,588.0,423.0,691.7179803198097,555.7197988330166,691.7179803198097,555.7197988330166,false,True
Yamamoto,FF,588.0,423.0,664.8755862764763,582.4538627146436,664.8755862764763,582.4538627146436,false,True
Yamamoto,FC,588.0,423.0,566.5405797855198,569.7250850844985,566.5405797855198,569.7250850844985,DOUBLE,False
Yamamoto,FC,588.0,423.0,650.669931707565,533.974514155897,650.669931707565,533.974514155897,false,True
Yamamoto,FC,588.0,423.0,625.8653853101601,415.40106512463257,625.8653853101601,415.40106512463257,false,True
Yamamoto,FC,588.0,423.0,720.282255135496,477.35388665098225,720.282255135496,477.35388665098225,false,False
Yamamoto,FF,588.0,423.0,728.4135633383114,596.7312663345654,728.4135633383114,596.7312663345654,false,False
Yamamoto,FC,588.0,423.0,609.7191247501743,423.8646262750155,609.7191247501743,423.8646262750155,false,True
Yamamoto,FC,588.0,423.0,608.1660369943281,543.1191294046394,608.1660369943281,543.1191294046394,false,True
Yamamoto,FF,588.0,423.0,579.1599052894197,461.3283592803928,579.1599052894197,461.3283592803928,false,True
Yamamoto,FF,588.0,423.0,565.2493596038036,441.2212975651118,565.2493596038036,441.2212975651118,false,True
Yamamoto,FF,588.0,423.0,599.5935935856985,528.2544500745464,599.5935935856985,528.2544500745464,false,True
Yamamoto,FC,588.0,423.0,686.1667708826033,466.4472435776974,686.1667708826033,466.4472435776974,false,True
Yamamoto,FF,588.0,423.0,722.5336331971412,597.5472449760049,722.5336331971412,597.5472449760049,false,True
Yamamoto,FC,588.0,423.0,637.4463140700594,527.8143279493075,637.4463140700594,527.8143279493075,false,True
Yamamoto,FC,588.0,423.0,653.33112865544,505.01383180837803,653.33112865544,505.01383180837803,DOUBLE,False
Yamamoto,FC,588.0,423.0,618.550679841115,459.2765041575766,618.550679841115,459.2765041575766,false,True
Yamamoto,FF,588.0,423.0,677.5599652479423,526.9016104664697,677.5599652479423,526.9016104664697,false,True
Yamamoto,FC,588.0,423.0,676.0848775699332,570.644159653819,676.0848775699332,570.644159653819,false,True
Yamamoto,FF,588.0,423.0,707.8464132147334,532.6090628938977,707.8464132147334,532.6090628938977,false,True
Yamamoto,FF,588.0,423.0,615.5716461737286,524.3070980062873,615.5716461737286,524.3070980062873,false,True
Yamamoto,FF,588.0,423.0,635.5437011951639,441.26068481475676,635.5437011951639,441.26068481475676,false,True
Yamamoto,FF,588.0,423.0,606.4276038402699,478.32121912160136,606.4276038402699,478.32121912160136,false,True
Yamamoto,FF,588.0,423.0,655.6104066347135,498.55617610433575,655.6104066347135,498.55617610433575,false,True
Yamamoto,FF,588.0,423.0,673.6488413684314,574.8609829488363,673.6488413684314,574.8609829488363,false,True
Yamamoto,FF,588.0,423.0,632.3602113245817,471.8175900772175,632.3602113245817,471.8175900772175,false,True
Yamamoto,FF,588.0,423.0,664.2638597805203,589.1387445080295,664.2638597805203,589.1387445080295,false,False
Yamamoto,FF,588.0,423.0,647.7025002535951,571.5921553784478,647.7025002535951,571.5921553784478,false,True
Yamamoto,FF,588.0,423.0,593.203037783481,475.24685124362026,593.203037783481,475.24685124362026,false,True
Yamamoto,FC,588.0,423.0,641.4597011120095,522.7387401961988,641.4597011120095,522.7387401961988,TRIPLE,False
Yamamoto,FF,588.0,423.0,585.9207886524172,486.1468336032248,585.9207886524172,486.1468336032248,false,True
Yamamoto,FF,588.0,423.0,726.445111894452,459.40365587615673,726.445111894452,459.40365587615673,false,True
Yamamoto,FF,588.0,423.0,673.2875568266383,467.3593240428347,673.2875568266383,467.3593240428347,false,True
Yamamoto,FF,588.0,423.0,576.5667161175099,494.520461415094,576.5667161175099,494.520461415094,false,True
Yamamoto,FC,588.0,423.0,702.9650575337031,419.27863852352857,702.9650575337031,419.27863852352857,false,True
Yamamoto,FC,588.0,423.0,565.3306184727792,539.9558839359913,565.3306184727792,539.9558839359913,false,True
Yamamoto,FC,588.0,423.0,639.0745921197688,413.73876837736816,639.0745921197688,413.73876837736816,false,True
Yamamoto,FF,588.0,423.0,726.5156276252303,507.8172153023191,726.5156276252303,507.8172153023191,false,False
Yamamoto,FC,588.0,423.0,599.3993498199575,443.7575808564796,599.3993498199575,443.7575808564796,false,True
Yamamoto,FF,588.0,423.0,582.0822887558278,551.7272187774374,582.0822887558278,551.7272187774374,false,True
Yamamoto,FF,588.0,423.0,683.0688979293272,450.94981653417193,683.0688979293272,450.94981653417193,false,True
Yamamoto,FF,588.0,423.0,622.2126398335162,532.302204394704,622.2126398335162,532.302204394704,false,True
