pitcher,pitch_type,firstx,firsty,secondx,secondy,finalx,finaly,hit_type,called_strike,foul,swinging_strike,ball,in_zone
Yamamoto,FS,588.0,423.0,611.8712871442026,517.6944482859634,619.1272255804578,613.1398376835026,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,638.2944941122461,402.19164413882464,646.8222558892419,403.0392115217829,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,598.9284203926715,404.0859083415528,596.5872048163527,403.1181280384758,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,564.2600001931155,388.0715455035237,542.8802784918361,381.46013011508006,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,559.8224748674963,491.95931005531116,544.6823047408595,535.7692478183445,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,623.1672120704942,475.5588938250829,632.7538872251874,519.900324124537,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,691.9051966314172,534.9624821607695,691.9051966314172,534.9624821607695,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,637.8423395900434,465.6276483130971,651.4294933752745,507.26179478197434,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,584.3841414939467,468.9529251871672,584.3841414939467,468.9529251871672,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,660.8317691308808,516.8363983776663,660.8317691308808,516.8363983776663,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,627.583138279515,487.110830593489,646.4685352646524,578.0177571638442,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,636.2367794477366,405.2213937049031,644.3839638465612,405.37718797935065,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,713.8494877166387,556.2813714520335,713.8494877166387,556.2813714520335,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,633.3625652163082,528.137996317417,646.0630292409913,628.5660768071739,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,597.609786904986,523.5099484493584,583.601203079656,621.7299543635896,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,670.275543209021,510.81826648397265,670.275543209021,510.81826648397265,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,577.4947089660875,385.0434863473718,562.4293610114094,376.98736238492415,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,622.2268761587092,496.85926602162243,628.8391481825327,582.3640416774915,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,709.0501935409568,475.0154007070002,709.0501935409568,475.0154007070002,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,718.9590300364578,527.2231011486595,718.9590300364578,527.2231011486595,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,555.3923457354351,453.03126741987376,555.3923457354351,453.03126741987376,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,654.6304562835891,420.76204003156545,654.6304562835891,420.76204003156545,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,630.9213566425708,509.4782956152799,642.1546657658491,601.0037000995295,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,561.6935645551446,485.78765868585685,536.5938760015084,566.0100916855424,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,633.2292234194401,502.99801703295606,654.8084078078506,601.4848333221995,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,555.0731170894068,490.77400899368337,555.0731170894068,490.77400899368337,false,True,False,False,False,True
